伊利奶粉 金领冠系列 幼儿配方奶粉 3段1200克特惠三联装新包装（1-3岁幼儿适用）新老包装随机发货SKU：1100526,1100526,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段960克（1-3岁幼儿适用）新老包装随机发货SKU：3300145,3300145,Y001
伊利奶粉 金领冠系列 儿童配方奶粉 4段900克（3-6岁儿童适用）新老包装随机发货SKU：1072077,1072077,Y001
伊利奶粉 金领冠系列 儿童配方奶粉 4段400克（3-6岁儿童适用）新老包装随机发货SKU：1072078,1072078,Y001
伊利奶粉 金领冠系列 婴儿配方奶粉 1段400克（0-6个月婴儿适用）新老包装随机发货SKU：497495,497495,Y001
伊利奶粉 金领冠系列 婴儿配方奶粉 1段 900克(0-6个月婴儿适用)新老包装随机发货SKU：497496,497496,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段900克（1-3岁幼儿适用）新老包装随机发货SKU：497505,497505,Y001
伊利奶粉 金领冠系列 较大婴儿配方奶粉 2段960克(6-12个月适用)新老包装随机发货SKU：3300187,3300187,Y001
伊利 奶粉 迪士尼松松联名款 金领冠系列 3段礼盒 960g*4SKU：100010480400,100010480400,Y001
伊利奶粉 金领冠系列 较大婴儿配方奶粉 2段400克(6-12个月较大婴儿适用)新老包装随机发货SKU：497500,497500,Y001
伊利奶粉 金领冠系列 较大婴儿配方奶粉 2段900克（6-12个月较大婴儿适用）新老包装随机发货SKU：497501,497501,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段400克新升级（1-3岁幼儿适用）新老包装随机发货SKU：497504,497504,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉（1-3岁幼儿适用）3段960克*6听（整箱装）新老包装随机发货SKU：100002285554,100002285554,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段1200克特惠三联装新包装*4（1-3岁幼儿适用）新老包装随机发货SKU：100004785707,100004785707,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段960克（1-3岁幼儿适用）SKU：100003519807,100003519807,Y001
伊利奶粉 金领冠系列 儿童配方奶粉 4段400克（3-6岁儿童适用）SKU：100003519809,100003519809,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉（1-3岁幼儿适用） 3段900克*6听（整箱装）新老包装随机发货SKU：100001837302,100001837302,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段1200克特惠三联装新包装（1-3岁幼儿适用）SKU：100005853184,100005853184,Y001
伊利奶粉 金领冠系列 儿童配方奶粉 4段900克（3-6岁儿童适用）SKU：100003519805,100003519805,Y001
伊利奶粉 金领冠系列 幼儿配方奶粉 3段900克（1-3岁幼儿适用）新老包装随机发货SKU：100009327852,100009327852,Y001
伊利奶粉 金领冠系列 较大婴儿配方奶粉 2段400克(6-12个月较大婴儿适用)SKU：100003519813,100003519813,Y001
